,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
151,601888.SH,20210517,313,322.1,310.25,319.39,309.58,9.81,3.1688,124513,3972405.796
152,601888.SH,20210514,297,310,293,309.58,295,14.58,4.9424,132436.88,4032866.27
153,601888.SH,20210513,297.99,301.77,288.1,295,303,-8,-2.6403,98790.3,2900389.995
154,601888.SH,20210512,299.39,304.5,295.01,303,299,4,1.3378,61798.89,1857947.024
155,601888.SH,20210511,294.5,301.8,292.31,299,298.89,0.11,0.0368,62559.37,1858703.389
156,601888.SH,20210510,289.35,303,289.35,298.89,288,10.89,3.7813,87718.14,2618300.311
157,601888.SH,20210507,295.03,300.8,287.53,288,295.7,-7.7,-2.604,88713.86,2602939.209
158,601888.SH,20210506,319,319,295.7,295.7,311.99,-16.29,-5.2213,131523.81,3972604.983
159,601888.SH,20210430,308.08,317.88,305,311.99,310.32,1.67,0.5382,100350.89,3132227.992
160,601888.SH,20210429,307.22,316.1,305,310.32,310,0.32,0.1032,88524.75,2748613.798
161,601888.SH,20210428,306.67,311.49,295,310,306.98,3.02,0.9838,102716.19,3139965.249
162,601888.SH,20210427,301.55,307.85,299.02,306.98,298.44,8.54,2.8615,96834.43,2955423.133
163,601888.SH,20210426,301,309.89,297.3,298.44,299.29,-0.85,-0.284,112245.43,3422768.84
164,601888.SH,20210423,298.15,303.27,296.06,299.29,296,3.29,1.1115,106775.2,3204828.432
165,601888.SH,20210422,297,297.9,283.5,296,298.66,-2.66,-0.8906,137405.87,3986803.757
166,601888.SH,20210421,288,298.69,287.99,298.66,292.99,5.67,1.9352,78048.3,2307619.029
167,601888.SH,20210420,294.21,302.47,291.58,292.99,294.5,-1.51,-0.5127,106022.79,3142971.502
168,601888.SH,20210419,285.58,298.01,283.85,294.5,285.85,8.65,3.0261,110020.66,3234316.952
169,601888.SH,20210416,287.18,288.16,277.5,285.85,283.06,2.79,0.9857,93925.01,2662067.586
170,601888.SH,20210415,286.96,286.96,278.1,283.06,288.2,-5.14,-1.7835,101691.05,2864860.304
171,601888.SH,20210414,260,289.38,260,288.2,265.85,22.35,8.407,258066.1,7208830.725
172,601888.SH,20210413,292.82,302.88,265.85,265.85,295.39,-29.54,-10.0003,235380.76,6553860.063
173,601888.SH,20210412,296.01,304.59,289,295.39,301.6,-6.21,-2.059,146372.62,4304374.209
174,601888.SH,20210409,310,312,301.04,301.6,312.28,-10.68,-3.42,95395.39,2896177.559
175,601888.SH,20210408,307.5,315,305.53,312.28,311.9,0.38,0.1218,85729.67,2662657.714
176,601888.SH,20210407,315.91,316.95,307,311.9,317.2,-5.3,-1.6709,102518.6,3181247.677
177,601888.SH,20210406,334.98,334.98,312.67,317.2,333.5,-16.3,-4.8876,138866.91,4445332.911
178,601888.SH,20210402,321,337.82,320,333.5,321.95,11.55,3.5875,104551.59,3455129.967
179,601888.SH,20210401,308.7,321.95,306.3,321.95,306.08,15.87,5.1849,89282.75,2807005.785
180,601888.SH,20210331,316.25,317.72,301.53,306.08,317.88,-11.8,-3.7121,109446.26,3366921.055
181,601888.SH,20210330,313,325.38,311.11,317.88,315.85,2.03,0.6427,95228.77,3048259.092
182,601888.SH,20210329,312.97,322.88,306.68,315.85,313.43,2.42,0.7721,122946.15,3878409.089
183,601888.SH,20210326,300.87,314.14,299.33,313.43,299,14.43,4.8261,116455.34,3588654.788
184,601888.SH,20210325,288.1,299.3,284.06,299,295.04,3.96,1.3422,101739.26,2959680.627
185,601888.SH,20210324,297,303,292.6,295.04,300.02,-4.98,-1.6599,84906.33,2528291.225
186,601888.SH,20210323,315,315.1,291.01,300.02,311.65,-11.63,-3.7318,117642.77,3528611.968
187,601888.SH,20210322,306,318,301.88,311.65,306.56,5.09,1.6604,98851.22,3061244.918
188,601888.SH,20210319,305,322.6,303.32,306.56,312.7,-6.14,-1.9635,124535.59,3877645.766
189,601888.SH,20210318,313,320.25,308.8,312.7,308.07,4.63,1.5029,116849.27,3660964.98
190,601888.SH,20210317,292.95,309.79,287.11,308.07,296.57,11.5,3.8777,105216.73,3180866.761
191,601888.SH,20210316,299,301.88,285.62,296.57,297.8,-1.23,-0.413,105408.3,3094994.03
192,601888.SH,20210315,303.86,309,290.5,297.8,309.41,-11.61,-3.7523,125917.54,3756021.126
193,601888.SH,20210312,306.3,314.94,303.01,309.41,301.78,7.63,2.5283,140596.87,4347307.56
194,601888.SH,20210311,299,307.28,295.05,301.78,299.62,2.16,0.7209,121648.34,3675489.474
195,601888.SH,20210310,291,304.88,290.01,299.62,282.29,17.33,6.1391,169336.09,5057281.953
196,601888.SH,20210309,280,295.3,269.9,282.29,278.99,3.3,1.1828,211445.96,5967938.721
197,601888.SH,20210308,304.9,307.54,276,278.99,305.88,-26.89,-8.791,212973.72,6166108.097
198,601888.SH,20210305,299.8,312.47,295,305.88,309.63,-3.75,-1.2111,109017.58,3321489.084
199,601888.SH,20210304,317.94,317.94,300.87,309.63,324.5,-14.87,-4.5824,168136.34,5158625.436
200,601888.SH,20210303,314.8,328.71,312,324.5,316.1,8.4,2.6574,105627.23,3393191.026
201,601888.SH,20210302,333,334.3,308.85,316.1,324.56,-8.46,-2.6066,161736.76,5186296.79
202,601888.SH,20210301,314.96,326.8,314.8,324.56,307.91,16.65,5.4074,141863.12,4568370.025
203,601888.SH,20210226,306,314.65,301,307.91,319.1,-11.19,-3.5067,159713.08,4907611.708
204,601888.SH,20210225,322,326.88,313.53,319.1,314.63,4.47,1.4207,134180.28,4302677.014
205,601888.SH,20210224,335.99,339.6,311.3,314.63,332.78,-18.15,-5.4541,189563.82,6062374.902
206,601888.SH,20210223,329.88,343.9,327.8,332.78,339,-6.22,-1.8348,160342.1,5351670.901
207,601888.SH,20210222,378.98,379,338.76,339,371.9,-32.9,-8.8465,218115.17,7642625.077
208,601888.SH,20210219,379,387.56,355.11,371.9,379.9,-8,-2.1058,144168.8,5314429.469
209,601888.SH,20210218,395.66,403.78,372,379.9,387.86,-7.96,-2.0523,180949.53,7020478.713
210,601888.SH,20210210,358,387.86,356.06,387.86,359.73,28.13,7.8198,116169.04,4374248.841
211,601888.SH,20210209,361.28,363.18,349.04,359.73,357.99,1.74,0.486,97515.13,3477865.598
212,601888.SH,20210208,347,362,343.2,357.99,346.95,11.04,3.182,116739.65,4138020.636
213,601888.SH,20210205,335.08,353.8,333,346.95,328.94,18.01,5.4752,137600.66,4763194.483
214,601888.SH,20210204,335.48,341.4,321.35,328.94,340.98,-12.04,-3.531,134351.47,4447164.474
215,601888.SH,20210203,330.68,348.88,328,340.98,331.01,9.97,3.012,151614.44,5170358
216,601888.SH,20210202,308.4,333.3,301.11,331.01,306,25.01,8.1732,181853.74,5839697.786
217,601888.SH,20210201,307.9,315.87,298,306,294,12,4.0816,203642.09,6250768.198
218,601888.SH,20210129,292.9,300.88,290.01,294,287,7,2.439,134043.85,3954648.924
219,601888.SH,20210128,289.57,295.15,285.6,287,297,-10,-3.367,90007.55,2608105.507
220,601888.SH,20210127,299.1,299.1,283.03,297,297.98,-0.98,-0.3289,132331.97,3844437.373
221,601888.SH,20210126,301.55,305.79,293.92,297.98,308,-10.02,-3.2532,133391.69,3993548.612
222,601888.SH,20210125,288.01,311,288.01,308,283,25,8.8339,238161.36,7181651.412
223,601888.SH,20210122,272.03,285,270.1,283,272,11,4.0441,181720.16,5103052.34
